epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,17.4826,0.9015,3.16492,18.4876,0.00689,4.18207,0.00333,0.48387,0.00385,0.00287,0.00333,0.48387,0.00384,0.00265,1.03488,2.9817,4.83297,0.01302,0,6e-05,6e-05,6e-05
2,21.2928,1.22881,3.71953,12.0795,0.01001,5.59038,0.00333,0.48387,0.00443,0.00303,0.00333,0.48387,0.00384,0.00255,0.90734,2.80408,4.78362,0.01035,0,0.000138614,0.000138614,0.000138614
3,24.8195,1.36868,3.45672,11.7468,0.01208,5.33397,0.00333,0.48387,0.00482,0.00316,0.00333,0.48387,0.00464,0.00309,0.90499,2.4144,4.78666,0.01087,0,0.000215644,0.000215644,0.000215644
4,28.3761,1.15907,2.87788,15.4747,0.00768,4.88058,0.00333,0.48387,0.21271,0.19033,0.00333,0.48387,0.21271,0.18234,0.93178,1.97755,4.76903,0.01118,0,0.00029109,0.00029109,0.00029109
5,32.0181,1.17452,3.3549,9.62307,0.00705,3.86493,0.00356,0.51613,0.43312,0.37024,0.00378,0.54839,0.43324,0.38683,0.86774,1.86045,4.71984,0.00854,0,0.000364952,0.000364952,0.000364952
6,35.747,0.93672,2.0405,11.2383,0.00809,3.61147,0.00333,0.48387,0.38843,0.32295,0.00356,0.51613,0.38856,0.32815,0.92816,4.82146,4.71276,0.01154,0,0.00043723,0.00043723,0.00043723
7,39.2142,1.09939,1.88959,13.0799,0.00825,3.43473,0.00333,0.48387,0.26148,0.21297,0.00356,0.51613,0.26161,0.24063,0.96899,5.27436,4.71056,0.01079,0,0.000507924,0.000507924,0.000507924
8,42.7393,1.43301,2.47078,9.27284,0.00948,2.94477,0.00333,0.48387,0.11819,0.07606,0.00444,0.64516,0.14924,0.09597,1.01641,2.41756,4.77122,0.01354,0,0.000577034,0.000577034,0.000577034
9,46.2007,1.26232,1.75728,8.58003,0.01018,2.47312,0.00356,0.51613,0.27207,0.20278,0.00444,0.64516,0.28207,0.19149,1.0107,3.75704,4.71522,0.01477,0,0.00064456,0.00064456,0.00064456
10,49.6138,1.25133,2.02256,9.36657,0.01036,2.6272,0.00422,0.6129,0.27256,0.2014,0.00444,0.64516,0.27346,0.21229,1.00539,2.25245,4.7082,0.01245,0,0.000710502,0.000710502,0.000710502
11,52.9567,1.15459,1.90547,8.62309,0.00782,2.60259,0.00422,0.6129,0.31197,0.22672,0.00422,0.6129,0.31235,0.28004,1.21866,2.28591,4.79445,0.02061,0,0.00077486,0.00077486,0.00077486
12,56.3256,1.27853,1.72755,7.71057,0.00987,2.53313,0.00444,0.64516,0.3371,0.25631,0.00444,0.64516,0.33837,0.29718,1.0237,2.14558,4.74995,0.01111,0,0.000837634,0.000837634,0.000837634
13,59.6998,1.44668,2.88464,7.23107,0.01256,2.642,0.00444,0.64516,0.3454,0.26481,0.00467,0.67742,0.34902,0.31385,1.16308,2.38752,4.67837,0.01703,0,0.000898824,0.000898824,0.000898824
14,63.1056,1.30658,2.03375,9.10033,0.00946,2.60003,0.00422,0.6129,0.36398,0.25098,0.00444,0.64516,0.36634,0.32931,1.27183,2.39794,4.70113,0.01982,0,0.00095843,0.00095843,0.00095843
15,66.6083,1.46012,2.17442,6.61348,0.01114,2.27168,0.00444,0.64516,0.35171,0.2486,0.00467,0.67742,0.35919,0.31972,1.34775,2.13632,4.62167,0.02374,0,0.00101645,0.00101645,0.00101645
16,69.9986,1.57165,2.09333,8.36503,0.00992,1.94444,0.00444,0.64516,0.43004,0.34507,0.00444,0.64516,0.46651,0.40352,1.17276,2.06083,4.41451,0.01647,0,0.00107289,0.00107289,0.00107289
17,73.2936,1.66104,2.47867,6.81881,0.00813,1.48343,0.00444,0.64516,0.43909,0.27414,0.00467,0.67742,0.44394,0.39158,1.47775,2.14562,4.30247,0.02304,0,0.00112774,0.00112774,0.00112774
18,76.7523,1.53745,2.04669,4.7285,0.01128,1.37383,0.62162,0.29032,0.30199,0.20343,0.62162,0.29032,0.30101,0.22541,1.21387,2.35177,3.76239,0.02043,0,0.00118101,0.00118101,0.00118101
19,80.0434,1.61574,2.99443,4.66821,0.01299,1.53542,0.66417,0.19161,0.41761,0.31141,0.66417,0.19161,0.37471,0.33261,1.22809,2.38695,3.09251,0.0199,0,0.0012327,0.0012327,0.0012327
20,83.2929,1.62277,2.02836,5.46964,0.01255,1.7299,0.00444,0.64516,0.25524,0.18672,0.00444,0.64516,0.25524,0.21838,1.31623,2.27354,3.09881,0.0214,0,0.0012828,0.0012828,0.0012828
