epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
27,54.9694,1.08855,2.15743,3.71112,0.00624,0.67589,0.00356,0.51613,0.40568,0.35435,0.004,0.58065,0.40604,0.37756,0.82635,3.4554,4.59736,0.00603,0,0.000386152,0.000386152,0.000386152
28,56.7862,1.12565,2.10542,3.80115,0.0068,0.66316,0.00356,0.51613,0.41347,0.36879,0.00444,0.64516,0.4142,0.38889,0.80362,3.3243,4.59407,0.00558,0,0.000395658,0.000395658,0.000395658
29,58.6775,1.14097,2.11948,4.0396,0.00722,0.77788,0.00356,0.51613,0.43897,0.37128,0.00444,0.64516,0.43973,0.41853,0.82061,3.19611,4.65533,0.00764,0,0.000404768,0.000404768,0.000404768
30,60.5288,1.12854,1.95233,3.75479,0.00888,0.84203,0.00356,0.51613,0.43884,0.38078,0.00444,0.64516,0.43958,0.41703,0.80957,3.04969,4.65244,0.007,0,0.000413482,0.000413482,0.000413482
31,62.3546,1.03892,2.00946,3.36689,0.0066,0.67993,0.00378,0.54839,0.4128,0.38298,0.00444,0.64516,0.41377,0.38126,0.77236,2.91878,4.61873,0.00564,0,0.0004218,0.0004218,0.0004218
32,64.2948,1.03682,1.8044,3.69767,0.00701,0.65884,0.00378,0.54839,0.42829,0.38387,0.00444,0.64516,0.42928,0.40983,0.85781,2.74242,4.62852,0.00753,0,0.000429722,0.000429722,0.000429722
33,66.2505,1.16444,2.19938,3.59914,0.0074,0.5808,0.004,0.58065,0.45174,0.40694,0.00444,0.64516,0.45214,0.4359,0.89968,2.5885,4.62553,0.00912,0,0.000437248,0.000437248,0.000437248
34,68.107,0.98997,1.85601,3.52366,0.00694,0.50104,0.00422,0.6129,0.45943,0.44309,0.00444,0.64516,0.45965,0.43014,0.83696,2.53859,4.57798,0.00664,0,0.000444378,0.000444378,0.000444378
35,69.9976,1.15104,1.80646,3.2877,0.00735,0.59332,0.00422,0.6129,0.45943,0.4307,0.00444,0.64516,0.45978,0.42025,0.85319,2.35701,4.5738,0.00768,0,0.000451112,0.000451112,0.000451112
36,72.1538,1.07997,1.9132,3.30908,0.00713,0.54931,0.00422,0.6129,0.45735,0.42665,0.00444,0.64516,0.45783,0.41947,0.87737,2.09398,4.54393,0.00825,0,0.00045745,0.00045745,0.00045745
37,74.2215,1.08642,1.44178,3.52246,0.00772,0.6062,0.00422,0.6129,0.4611,0.41646,0.00467,0.67742,0.46376,0.45048,0.86617,1.89605,4.58198,0.00852,0,0.000463392,0.000463392,0.000463392
38,76.3647,1.10884,2.01334,3.26774,0.0078,0.51545,0.00422,0.6129,0.4426,0.38333,0.00467,0.67742,0.44608,0.4296,1.02504,1.80398,4.60263,0.0143,0,0.000468938,0.000468938,0.000468938
39,78.4114,1.18256,1.6392,3.05315,0.008,0.43835,0.00422,0.6129,0.44636,0.39552,0.00467,0.67742,0.45046,0.43206,0.98714,1.83896,4.58496,0.01206,0,0.000474088,0.000474088,0.000474088
40,80.4648,1.01707,2.05042,3.09466,0.00685,0.64601,0.00422,0.6129,0.435,0.40115,0.00467,0.67742,0.43927,0.41109,0.89957,1.9292,4.53767,0.0076,0,0.000478842,0.000478842,0.000478842
41,82.519,1.06367,1.90873,3.06447,0.0063,0.47028,0.00444,0.64516,0.41942,0.37224,0.00467,0.67742,0.42307,0.39798,0.97473,2.12597,4.54749,0.01034,0,0.0004832,0.0004832,0.0004832
42,84.5474,1.0183,1.72732,3.28139,0.00708,0.49341,0.00444,0.64516,0.44514,0.37963,0.00467,0.67742,0.44742,0.4277,0.97793,2.23461,4.54831,0.00973,0,0.000487162,0.000487162,0.000487162
43,86.5919,1.07804,1.83899,3.06177,0.00672,0.4824,0.00444,0.64516,0.4472,0.38447,0.00467,0.67742,0.44744,0.44291,0.91749,2.15294,4.53843,0.00865,0,0.000490728,0.000490728,0.000490728
44,88.6257,1.04753,1.79753,2.93702,0.00564,0.47465,0.00444,0.64516,0.43591,0.39453,0.00467,0.67742,0.43613,0.43088,0.8857,2.02323,4.50739,0.0088,0,0.000493898,0.000493898,0.000493898
45,90.7117,1.01974,1.38395,3.07917,0.00594,0.48251,0.00444,0.64516,0.44404,0.40751,0.00467,0.67742,0.4473,0.43752,0.84584,1.92553,4.51354,0.00932,0,0.000496672,0.000496672,0.000496672
46,92.8189,1.02189,1.63139,2.75853,0.00602,0.48042,0.00444,0.64516,0.47969,0.42391,0.00467,0.67742,0.4822,0.44862,0.86539,1.87128,4.52865,0.01054,0,0.00049905,0.00049905,0.00049905
47,94.9209,1.07891,1.82186,3.12423,0.00749,0.52576,0.00444,0.64516,0.47137,0.43166,0.00467,0.67742,0.47341,0.44406,0.82289,1.83323,4.49987,0.00829,0,0.000501032,0.000501032,0.000501032
48,96.9949,1.10491,1.63795,2.7938,0.00648,0.35914,0.00444,0.64516,0.45629,0.425,0.00467,0.67742,0.4565,0.42973,0.8111,1.77789,4.46887,0.00694,0,0.000502618,0.000502618,0.000502618
