epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1409,1.1914,4.53506,5.23742,0.00979,5.50888,0.00333,0.48387,0.00353,0.00258,0.00333,0.48387,0.00359,0.00241,1.06552,2.99563,4.84556,0.01402,0,6e-05,6e-05,6e-05
2,13.6437,1.21928,4.20907,5.51655,0.01218,5.85514,0.00333,0.48387,0.00436,0.00344,0.00333,0.48387,0.00472,0.0031,0.95008,2.77882,4.80336,0.01193,0,0.000138614,0.000138614,0.000138614
3,15.2625,1.23189,3.96334,4.85996,0.00871,4.01139,0.00333,0.48387,0.0341,0.01627,0.00356,0.51613,0.02544,0.01446,0.82025,5.03379,4.74199,0.00902,0,0.000215644,0.000215644,0.000215644
4,16.9831,1.0578,2.6153,4.94195,0.00664,2.36757,0.00333,0.48387,0.27734,0.24487,0.004,0.58065,0.27818,0.25043,0.79862,4.32182,4.66816,0.00749,0,0.00029109,0.00029109,0.00029109
5,18.5674,1.15871,2.26846,4.75452,0.00744,1.8262,0.00333,0.48387,0.29349,0.28026,0.00422,0.6129,0.29417,0.26475,0.82705,4.42952,4.59102,0.00747,0,0.000364952,0.000364952,0.000364952
6,20.2509,1.08224,2.44398,4.28466,0.00762,1.39304,0.00333,0.48387,0.36024,0.3208,0.00444,0.64516,0.36113,0.33139,0.79584,4.34355,4.63535,0.00794,0,0.00043723,0.00043723,0.00043723
7,21.7821,1.12059,2.35712,4.19171,0.00834,0.97018,0.00333,0.48387,0.44962,0.41204,0.00444,0.64516,0.45071,0.4078,0.80036,3.42145,4.5838,0.00687,0,0.000507924,0.000507924,0.000507924
8,23.3517,1.25058,1.92752,4.1201,0.00935,0.90844,0.004,0.58065,0.46114,0.40176,0.00444,0.64516,0.46155,0.41192,0.94745,2.83946,4.58223,0.01087,0,0.000577034,0.000577034,0.000577034
9,24.9927,1.21035,1.74163,4.11573,0.0108,0.83256,0.004,0.58065,0.38969,0.31714,0.00444,0.64516,0.39073,0.35313,0.9857,3.85359,4.56292,0.00912,0,0.00064456,0.00064456,0.00064456
10,26.529,1.18899,1.89284,3.86298,0.00868,0.57905,0.004,0.58065,0.41088,0.37128,0.00444,0.64516,0.4117,0.37771,0.83733,4.5207,4.52949,0.00637,0,0.000710502,0.000710502,0.000710502
