epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9055,1.29116,3.85049,13.5791,0.01023,5.4451,0.00333,0.48387,0.02626,0.02066,0.00356,0.51613,0.02619,0.02065,0.79111,2.12622,4.75528,0.00673,0,0.00024,0.00024,0.00024
2,20.3513,1.14835,2.3829,11.4508,0.00835,3.89279,0.00333,0.48387,0.42268,0.35388,0.00422,0.6129,0.42361,0.38688,0.83862,1.87662,4.71234,0.00785,0,0.00049505,0.00049505,0.00049505
3,24.8144,1.20169,2.637,10.2046,0.0085,3.28666,0.00333,0.48387,0.30176,0.23881,0.004,0.58065,0.30229,0.27294,1.00357,2.91766,4.71881,0.01367,0,0.000744952,0.000744952,0.000744952
4,28.9951,1.16078,2.04687,9.55954,0.01083,2.90078,0.00333,0.48387,0.475,0.37754,0.00467,0.67742,0.47661,0.4135,0.96354,2.01853,4.64137,0.01201,0,0.000989706,0.000989706,0.000989706
5,33.1006,1.33721,1.83085,10.3576,0.01408,2.59412,0.35403,0.48387,0.42823,0.36362,0.35403,0.48387,0.42894,0.38394,1.0159,2.06664,4.44817,0.01621,0,0.00122931,0.00122931,0.00122931
6,37.6451,1.52095,2.52251,9.00759,0.01351,2.43816,0.004,0.58065,0.29298,0.21006,0.00444,0.64516,0.29331,0.26409,1.23229,1.98056,4.61989,0.02402,0,0.00146377,0.00146377,0.00146377
7,42.1165,1.44014,2.24965,6.38992,0.01103,2.15128,0.84943,0.19355,0.36453,0.28569,0.84943,0.19355,0.36467,0.28229,1.34674,2.09897,3.92749,0.01782,0,0.00169308,0.00169308,0.00169308
8,46.2453,1.58739,2.04804,6.60409,0.01371,1.96306,1,0.19449,0.43997,0.21424,1,0.19449,0.46478,0.28909,1.66782,1.71664,3.59656,0.03035,0,0.0018614,0.0018614,0.0018614
9,49.706,1.74155,2.2185,6.35419,0.01484,1.53761,0.68165,0.3871,0.42578,0.26862,0.68165,0.3871,0.42706,0.37287,1.43401,1.82882,2.4948,0.02494,0,0.0018416,0.0018416,0.0018416
10,52.9486,1.51549,2.11766,5.3143,0.01167,1.63516,0.77472,0.54839,0.56967,0.3568,0.77472,0.54839,0.57938,0.37655,1.38545,1.91677,2.03068,0.02386,0,0.0018218,0.0018218,0.0018218
11,56.3017,1.47417,2.15018,4.41166,0.01126,1.57082,0.70101,0.58065,0.5814,0.40583,0.70101,0.58065,0.58489,0.43674,1.36736,1.77766,1.67335,0.02321,0,0.001802,0.001802,0.001802
12,59.6436,1.49296,1.94283,4.66548,0.0108,1.44339,0.50988,0.40304,0.44541,0.29621,0.50988,0.40304,0.44739,0.32304,1.42445,1.59357,1.80142,0.02383,0,0.0017822,0.0017822,0.0017822
13,62.8939,1.54511,2.07515,3.98642,0.01235,1.63336,0.59957,0.41935,0.47998,0.34314,0.59957,0.41935,0.48448,0.37782,1.17037,1.77421,1.60988,0.01517,0,0.0017624,0.0017624,0.0017624
14,66.5971,1.44295,1.85346,3.77553,0.01172,1.74354,0.81131,0.55505,0.58448,0.36513,0.81131,0.55505,0.59311,0.48841,1.71641,1.68059,1.33522,0.02701,0,0.0017426,0.0017426,0.0017426
15,70.4413,1.56784,1.89214,4.41647,0.01316,1.72541,0.80412,0.48387,0.56086,0.35356,0.80412,0.48387,0.57523,0.43551,1.60538,1.74134,1.62233,0.02957,0,0.0017228,0.0017228,0.0017228
16,74.0334,1.43777,1.78429,3.15397,0.01071,1.59339,0.58338,0.51613,0.49779,0.3658,0.58338,0.51613,0.49715,0.42279,1.34222,1.8437,1.47077,0.02507,0,0.001703,0.001703,0.001703
17,77.6384,1.50651,2.00567,3.59774,0.01153,1.48133,0.63444,0.50418,0.53072,0.38669,0.63444,0.50418,0.54314,0.45681,1.3293,1.72651,1.11748,0.02208,0,0.0016832,0.0016832,0.0016832
18,81.1893,1.51423,2.04543,3.03008,0.01113,1.43465,0.8485,0.54225,0.60927,0.40047,0.81657,0.58065,0.62212,0.49867,1.55052,1.66908,1.11823,0.02051,0,0.0016634,0.0016634,0.0016634
19,84.6323,1.56688,2.00757,2.87073,0.01122,1.4746,0.70485,0.54839,0.59284,0.40873,0.70485,0.54839,0.57725,0.50213,1.5068,1.95286,1.11374,0.02973,0,0.0016436,0.0016436,0.0016436
