epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6171,1.21141,3.81964,5.57413,0.00955,5.66345,0.00333,0.5873,0.00424,0.00292,0.00351,0.61905,0.00475,0.00268,0.76262,4.07455,5.05599,0.01197,0,4e-05,4e-05,4e-05
2,16.2798,1.08886,4.06915,5.53328,0.01055,5.78035,0.00333,0.5873,0.00504,0.00309,0.00351,0.61905,0.00488,0.00278,0.75388,4.12497,5.05149,0.01189,0,9.901e-05,9.901e-05,9.901e-05
3,18.8146,1.16789,4.09851,5.71233,0.00996,5.72619,0.00333,0.5873,0.00538,0.00321,0.00351,0.61905,0.00511,0.00287,0.76947,4.1176,5.04208,0.0124,0,0.000156832,0.000156832,0.000156832
4,21.4693,1.13536,3.39613,5.55001,0.00902,5.36076,0.00342,0.60317,0.00734,0.00446,0.00351,0.61905,0.00892,0.00542,0.65433,3.27602,5.00874,0.00929,0,0.000213466,0.000213466,0.000213466
5,24.283,0.95028,2.97218,5.28441,0.00694,3.44731,0.00333,0.5873,0.28297,0.20222,0.00351,0.61905,0.27803,0.19683,0.65772,2.66174,5.01819,0.00933,0,0.000268912,0.000268912,0.000268912
6,27.0844,0.8538,2.02588,5.06545,0.00604,2.5102,0.00333,0.5873,0.43186,0.33985,0.00351,0.61905,0.432,0.31137,0.60369,2.53094,4.96358,0.008,0,0.00032317,0.00032317,0.00032317
7,29.8946,0.99556,2.04616,4.64897,0.00689,1.6556,0.00351,0.61905,0.40358,0.32525,0.00351,0.61905,0.4036,0.3128,0.57329,2.54787,4.93824,0.00678,0,0.00037624,0.00037624,0.00037624
8,32.7071,0.98743,2.21384,4.2985,0.00766,1.24291,0.0036,0.63492,0.4232,0.29638,0.00369,0.65079,0.42377,0.34076,0.79122,2.63626,5.03047,0.01145,0,0.000428122,0.000428122,0.000428122
9,35.5134,1.05518,1.88289,4.36324,0.00868,1.09389,0.0036,0.63492,0.4914,0.38445,0.00369,0.65079,0.49183,0.38413,0.7607,2.71052,4.93063,0.01255,0,0.000478816,0.000478816,0.000478816
10,38.472,1.10485,1.58398,4.00401,0.0088,0.84843,0.00369,0.65079,0.5413,0.35556,0.00369,0.65079,0.5413,0.41564,0.98968,2.64179,5.07662,0.01645,0,0.000528322,0.000528322,0.000528322
11,41.2747,1.22047,2.12141,4.03203,0.01071,0.76943,0.00378,0.66667,0.51089,0.41074,0.00369,0.65079,0.51209,0.3984,0.78258,2.7089,4.90552,0.01127,0,0.00057664,0.00057664,0.00057664
12,44.0739,1.14304,1.97403,3.71085,0.00895,0.6899,0.00369,0.65079,0.44905,0.34277,0.00369,0.65079,0.4482,0.34132,0.77073,2.33013,4.93258,0.01248,0,0.00062377,0.00062377,0.00062377
13,46.8942,1.12341,1.85608,3.70478,0.00924,0.65399,0.00369,0.65079,0.55422,0.3905,0.00369,0.65079,0.55422,0.44587,0.78223,2.1678,4.94841,0.01106,0,0.000669712,0.000669712,0.000669712
14,49.6981,1.08122,1.6136,3.47783,0.00899,0.55078,0.00387,0.68254,0.56061,0.4248,0.00387,0.68254,0.5606,0.44914,0.9016,2.25933,4.8597,0.01339,0,0.000714466,0.000714466,0.000714466
15,52.522,1.20776,1.81224,3.18989,0.00854,0.51316,0.00378,0.66667,0.54755,0.43863,0.00378,0.66667,0.54767,0.44334,0.82201,2.10659,4.78062,0.01029,0,0.000758032,0.000758032,0.000758032
16,55.3412,1.12341,1.53346,3.0954,0.00861,0.46246,0.00378,0.66667,0.53897,0.3729,0.00387,0.68254,0.54267,0.46136,0.87366,2.13992,4.9334,0.01125,0,0.00080041,0.00080041,0.00080041
17,58.114,1.0517,1.69486,2.94892,0.00779,0.56682,0.00378,0.66667,0.51665,0.42906,0.00387,0.68254,0.52267,0.42561,0.84735,2.08724,4.70094,0.01154,0,0.0008416,0.0008416,0.0008416
18,60.9751,1.05511,1.54122,2.82194,0.00831,0.56175,0.74508,0.57143,0.55847,0.43301,0.74508,0.57143,0.55948,0.44291,0.99053,2.64612,4.64268,0.01538,0,0.000881602,0.000881602,0.000881602
19,63.8009,1.09443,1.63719,2.85224,0.00903,0.51218,0.92197,0.37523,0.52801,0.39166,0.92197,0.37523,0.52789,0.41929,1.00215,2.26395,4.58221,0.01346,0,0.000920416,0.000920416,0.000920416
20,66.6543,1.10553,1.99051,2.65631,0.00816,0.51143,1,0.38954,0.57541,0.45056,1,0.38954,0.5754,0.4505,1.00484,4.52909,4.39889,0.01843,0,0.000958042,0.000958042,0.000958042
