epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,38.5174,1.76412,4.11809,7.53827,0.01724,5.45242,0.00167,0.5,0.00084,0.00021,0.00114,0.34091,0.0004,0.00018,1.31698,3.32046,9.97412,0.01771,0,4e-05,4e-05,4e-05
2,42.3701,1.77079,4.19792,7.655,0.01823,5.40888,0.00114,0.34091,0.0004,0.00013,0.00091,0.27273,0.00025,0.0001,1.38129,3.36567,10.0799,0.01886,0,9.901e-05,9.901e-05,9.901e-05
3,45.7382,1.78149,4.20027,7.69502,0.01686,5.42998,0.00159,0.47727,0.00077,0.0002,0.00114,0.34091,0.00041,0.00015,1.42999,3.37774,10.1352,0.01927,0,0.000156832,0.000156832,0.000156832
4,49.1258,1.73879,4.05573,7.42416,0.01578,5.52532,0.00182,0.54545,0.00107,0.00039,0.00182,0.54545,0.00106,0.00034,0.92276,2.68815,9.34732,0.01136,0,0.000213466,0.000213466,0.000213466
5,52.8313,1.10448,3.02389,6.88556,0.00946,4.94477,0.00318,0.95455,0.01282,0.00883,0.00333,1,0.01386,0.00779,0.55934,1.91647,8.7982,0.00592,0,0.000268912,0.000268912,0.000268912
6,56.4332,0.8868,2.12906,6.18713,0.00648,4.0535,0.00333,1,0.6007,0.47414,0.00333,1,0.6007,0.38678,0.61328,1.81802,8.75218,0.00657,0,0.00032317,0.00032317,0.00032317
7,60.2486,0.8083,1.73781,5.54412,0.00592,3.44432,0.00333,1,0.71659,0.53177,0.00333,1,0.71659,0.44198,0.67211,1.83593,8.82764,0.00702,0,0.00037624,0.00037624,0.00037624
8,63.9963,0.81865,1.5908,5.08476,0.00588,2.99857,0.00333,1,0.56953,0.40838,0.00333,1,0.56953,0.37499,0.72264,1.64494,8.84696,0.00787,0,0.000428122,0.000428122,0.000428122
9,67.5865,0.81112,1.52128,4.99943,0.00619,2.48844,0.00333,1,0.54325,0.4055,0.00333,1,0.54325,0.37094,0.75786,1.50943,8.79217,0.00871,0,0.000478816,0.000478816,0.000478816
10,71.0795,0.85891,1.47809,4.70402,0.00616,2.02531,0.00333,1,0.60028,0.49047,0.00333,1,0.60028,0.39919,0.55591,1.32135,8.56179,0.00587,0,0.000528322,0.000528322,0.000528322
11,74.495,0.80357,1.35812,4.63596,0.00659,1.50063,0.00333,1,0.64138,0.48453,0.00333,1,0.64138,0.43365,0.65936,1.22668,8.77489,0.00744,0,0.00057664,0.00057664,0.00057664
12,77.9499,0.7393,1.32286,4.19206,0.00546,1.26263,0.00333,1,0.71795,0.55772,0.00333,1,0.71795,0.50621,0.61565,1.20308,8.75011,0.00656,0,0.00062377,0.00062377,0.00062377
13,81.5377,0.81565,1.29348,3.84799,0.00614,1.04566,0.00333,1,0.72564,0.60206,0.00333,1,0.72564,0.5439,0.51773,1.09581,8.65082,0.00544,0,0.000669712,0.000669712,0.000669712
14,85.1748,0.76801,1.35426,3.88758,0.00578,0.83376,0.00333,1,0.59965,0.51819,0.00333,1,0.59965,0.45944,0.49208,1.15678,8.58792,0.00509,0,0.000714466,0.000714466,0.000714466
15,88.6388,0.75631,1.22533,3.39823,0.00591,0.68541,0.00333,1,0.66277,0.55912,0.00333,1,0.66521,0.49485,0.55967,1.00431,8.60873,0.00577,0,0.000758032,0.000758032,0.000758032
16,92.0301,0.81869,1.32524,3.40015,0.00614,0.70192,0.00333,1,0.63496,0.47707,0.00333,1,0.64674,0.44221,0.63679,1.29473,8.72449,0.00742,0,0.00080041,0.00080041,0.00080041
17,95.545,0.82722,1.2853,3.31433,0.00656,0.5924,0.00318,0.95455,0.66303,0.51846,0.00333,1,0.66612,0.46139,0.64038,1.2051,8.6893,0.00706,0,0.0008416,0.0008416,0.0008416
18,99.109,0.85161,1.22915,3.09186,0.00678,0.59072,0.00303,0.90909,0.66324,0.55469,0.00333,1,0.66759,0.48611,0.65426,1.11228,8.46314,0.00703,0,0.000881602,0.000881602,0.000881602
19,102.428,0.80846,1.22051,2.94057,0.00601,0.50131,0.00333,1,0.67826,0.60617,0.00333,1,0.67945,0.47971,0.49959,1.31105,8.11763,0.0055,0,0.000920416,0.000920416,0.000920416
20,105.957,0.80232,1.16512,2.8361,0.00576,0.46179,0.9307,0.61054,0.70081,0.57499,0.9307,0.61054,0.70106,0.51204,0.61968,1.18645,7.91924,0.00678,0,0.000958042,0.000958042,0.000958042
21,109.297,0.76547,1.02944,2.55901,0.006,0.42994,0.8575,0.63636,0.77879,0.67272,0.8575,0.63636,0.77879,0.59578,0.58279,1.03252,7.54686,0.00632,0,0.00099448,0.00099448,0.00099448
22,112.714,0.79299,1.13383,2.34812,0.0058,0.44465,1,0.31732,0.83373,0.67016,1,0.31732,0.83373,0.59906,0.66221,1.16604,7.4197,0.00782,0,0.00102973,0.00102973,0.00102973
23,116.135,0.72728,1.06779,2.1503,0.00549,0.42105,1,0.43026,0.86091,0.60178,1,0.43026,0.86091,0.58991,0.84926,1.15536,7.50012,0.00972,0,0.00106379,0.00106379,0.00106379
24,119.49,0.82223,1.10664,2.1257,0.006,0.37282,0.95752,0.51254,0.87248,0.73519,0.95752,0.51254,0.87248,0.68127,0.62924,0.97092,6.36793,0.00707,0,0.00109667,0.00109667,0.00109667
25,122.886,0.77402,1.12307,1.98274,0.00574,0.43643,1,0.52629,0.93227,0.80494,1,0.52629,0.93227,0.65399,0.55537,1.26981,5.35168,0.00591,0,0.00112835,0.00112835,0.00112835
26,126.223,0.75255,1.07471,1.75196,0.00508,0.4629,0.95885,0.52977,0.82206,0.64144,0.95885,0.52977,0.82565,0.52376,0.83004,1.4068,5.12376,0.00957,0,0.00115885,0.00115885,0.00115885
27,129.617,0.81777,1.19213,1.87348,0.00603,0.44451,0.96775,0.68205,0.93082,0.79835,0.96775,0.68205,0.93082,0.68581,0.62556,1.26724,4.01605,0.00674,0,0.00118816,0.00118816,0.00118816
28,133.366,0.7505,1.09635,1.70472,0.00603,0.36899,0.9645,0.61764,0.88415,0.73876,0.9645,0.61764,0.88415,0.67276,0.66823,1.09782,3.6926,0.00767,0,0.00121628,0.00121628,0.00121628
29,136.836,0.79533,1.06878,1.61644,0.006,0.37796,0.93418,0.63636,0.90791,0.71065,0.93418,0.63636,0.90791,0.67533,0.83461,1.18901,3.02884,0.00975,0,0.00124322,0.00124322,0.00124322
30,140.318,0.91049,1.05886,1.53519,0.00709,0.37265,1,0.65617,0.96099,0.75274,1,0.65617,0.96099,0.6516,0.81905,1.43404,2.80345,0.00899,0,0.00126896,0.00126896,0.00126896
31,143.735,0.85544,1.13505,1.4295,0.00624,0.40865,0.89449,0.81818,0.95805,0.79094,0.89449,0.81818,0.95805,0.74396,0.68441,1.01257,2.41409,0.00783,0,0.00129352,0.00129352,0.00129352
32,147.246,0.7604,1.10046,1.38298,0.00549,0.34986,0.90869,0.90476,0.95177,0.73939,0.90869,0.90476,0.95177,0.67862,0.77952,1.29753,2.20154,0.0093,0,0.00131689,0.00131689,0.00131689
33,150.604,0.84238,1.06709,1.31036,0.00653,0.35785,0.97391,0.84848,0.95173,0.7837,0.97391,0.84848,0.95173,0.74071,0.66954,1.0466,2.25246,0.0071,0,0.00133907,0.00133907,0.00133907
34,153.849,0.87488,1.03725,1.23656,0.00628,0.34653,0.95711,0.86364,0.97159,0.81697,0.95711,0.86364,0.97159,0.76047,0.61962,1.01168,1.94415,0.0071,0,0.0013466,0.0013466,0.0013466
35,157.307,0.67975,0.96728,1.09227,0.00533,0.32268,0.92704,0.86642,0.97408,0.79203,0.92704,0.86642,0.97408,0.73835,0.6891,1.01426,1.93047,0.00845,0,0.0013268,0.0013268,0.0013268
36,160.582,0.73059,0.95844,1.07011,0.00587,0.31397,0.93268,0.9448,0.98702,0.81296,0.93268,0.9448,0.98702,0.74492,0.67133,1.07581,1.35618,0.00756,0,0.001307,0.001307,0.001307
37,163.767,0.7731,1.05072,1.07081,0.0061,0.35666,0.9611,0.86364,0.9717,0.77959,0.9611,0.86364,0.9717,0.74602,0.77998,1.02461,1.46141,0.00815,0,0.0012872,0.0012872,0.0012872
38,167.089,0.7294,0.99079,0.982,0.00545,0.31596,0.98582,0.88636,0.9724,0.79111,0.98582,0.88636,0.9724,0.6834,0.74738,1.1942,1.31489,0.00794,0,0.0012674,0.0012674,0.0012674
39,170.408,0.70444,0.9767,0.93599,0.00546,0.34073,0.97581,0.91698,0.98256,0.83062,0.97581,0.91698,0.98256,0.74298,0.66353,1.11529,1.22296,0.00767,0,0.0012476,0.0012476,0.0012476
40,173.688,0.70677,0.88648,0.96637,0.00509,0.35384,0.97593,0.92179,0.98789,0.85067,0.97593,0.92179,0.98789,0.76743,0.56424,0.96944,1.06231,0.00624,0,0.0012278,0.0012278,0.0012278
41,177.077,0.68887,1.02541,0.84256,0.0051,0.31148,0.93293,0.94855,0.9831,0.79556,0.93293,0.94855,0.9831,0.76333,0.7007,0.91469,0.81404,0.00832,0,0.001208,0.001208,0.001208
42,180.303,0.69487,0.96836,0.79455,0.00515,0.30353,0.99491,0.90909,0.98675,0.82338,0.99491,0.90909,0.98675,0.75037,0.66666,0.98892,0.58332,0.00745,0,0.0011882,0.0011882,0.0011882
43,183.49,0.65929,0.94077,0.69102,0.00468,0.27924,0.94477,0.93182,0.98015,0.8328,0.94477,0.93182,0.98015,0.77598,0.57991,0.92453,0.50257,0.00659,0,0.0011684,0.0011684,0.0011684
44,186.813,0.63478,0.92109,0.70382,0.00448,0.32932,0.97298,0.95455,0.98622,0.80289,0.97298,0.95455,0.98622,0.76355,0.65903,0.97171,0.41743,0.00728,0,0.0011486,0.0011486,0.0011486
