epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5195,2.92076,11.5265,0.03079,0,0,0,0,3.36377,18.8079,0.04336,8e-05,8e-05,8e-05
2,26.5177,2.95204,10.6362,0.02904,0.00033,0.1,4e-05,1e-05,3.31245,18.4772,0.04053,0.000176436,0.000176436,0.000176436
3,39.2704,2.72196,9.77673,0.02663,0.00017,0.05,1e-05,0,2.98014,17.1665,0.03223,0.000268912,0.000268912,0.000268912
4,51.8546,2.73007,10.1878,0.02682,0.00033,0.1,4e-05,0,2.66226,16.0809,0.02732,0.000357428,0.000357428,0.000357428
5,64.6024,2.49564,9.21137,0.0219,0.0005,0.15,0.00024,4e-05,2.32825,15.2092,0.02635,0.000441984,0.000441984,0.000441984
6,77.1759,2.25254,8.29414,0.0207,0.00067,0.2,0.00027,6e-05,2.38179,15.1469,0.02695,0.00052258,0.00052258,0.00052258
7,89.9025,2.04294,8.39422,0.0196,0.00033,0.1,9e-05,3e-05,2.33873,14.7086,0.02524,0.000599216,0.000599216,0.000599216
8,102.822,1.93354,7.58382,0.01625,0.001,0.3,0.00079,0.00018,2.14226,14.2209,0.02262,0.000671892,0.000671892,0.000671892
9,115.624,1.8698,7.39876,0.01694,0.00167,0.5,0.0241,0.00416,1.7563,13.1825,0.01776,0.000740608,0.000740608,0.000740608
